date,Paris_weather,Paris_min,Paris_max,Paris_avg
01/01/2020,3,2,6,4.0
02/01/2020,2,7,9,8.0
03/01/2020,2,9,11,10.0
04/01/2020,3,6,8,7.0
05/01/2020,2,7,10,8.5
06/01/2020,3,4,8,6.0
07/01/2020,3,6,10,8.0
08/01/2020,2,10,11,10.5
09/01/2020,2,10,11,10.5
10/01/2020,2,8,10,9.0
11/01/2020,3,5,8,6.5
12/01/2020,2,6,8,7.0
13/01/2020,2,7,10,8.5
14/01/2020,2,7,10,8.5
15/01/2020,3,9,11,10.0
16/01/2020,3,7,12,9.5
17/01/2020,1,8,10,9.0
18/01/2020,3,5,8,6.5
19/01/2020,3,4,7,5.5
20/01/2020,3,3,7,5.0
21/01/2020,3,3,8,5.5
22/01/2020,3,3,7,5.0
23/01/2020,3,3,8,5.5
24/01/2020,3,3,8,5.5
25/01/2020,2,3,8,5.5
26/01/2020,3,5,10,7.5
27/01/2020,1,8,9,8.5
28/01/2020,2,6,9,7.5
29/01/2020,2,6,9,7.5
30/01/2020,2,6,11,8.5
31/01/2020,2,11,13,12.0
01/02/2020,1,12,14,13.0
02/02/2020,1,13,16,14.5
03/02/2020,3,11,13,12.0
04/02/2020,2,7,8,7.5
05/02/2020,3,6,9,7.5
06/02/2020,3,4,10,7.0
07/02/2020,3,5,10,7.5
08/02/2020,2,8,10,9.0
09/02/2020,3,9,12,10.5
10/02/2020,2,9,13,11.0
11/02/2020,2,7,8,7.5
12/02/2020,2,5,9,7.0
13/02/2020,1,8,10,9.0
14/02/2020,2,8,11,9.5
15/02/2020,2,8,13,10.5
16/02/2020,2,14,16,15.0
17/02/2020,2,9,12,10.5
18/02/2020,3,6,11,8.5
19/02/2020,3,7,9,8.0
20/02/2020,2,9,10,9.5
21/02/2020,3,6,9,7.5
22/02/2020,3,7,12,9.5
23/02/2020,2,12,14,13.0
24/02/2020,2,11,12,11.5
25/02/2020,2,8,11,9.5
26/02/2020,0,2,7,4.5
27/02/2020,1,6,10,8.0
28/02/2020,2,5,7,6.0
29/02/2020,2,8,11,9.5
01/03/2020,2,2,9,5.5
02/03/2020,1,6,8,7.0
03/03/2020,2,3,9,6.0
04/03/2020,2,4,8,6.0
05/03/2020,1,8,11,9.5
06/03/2020,2,6,9,7.5
07/03/2020,3,4,11,7.5
08/03/2020,2,7,10,8.5
09/03/2020,2,6,11,8.5
10/03/2020,2,8,14,11.0
11/03/2020,2,13,16,14.5
12/03/2020,2,7,12,9.5
13/03/2020,3,6,11,8.5
14/03/2020,2,7,11,9.0
15/03/2020,2,7,15,11.0
16/03/2020,2,9,11,10.0
17/03/2020,2,9,15,12.0
18/03/2020,3,9,17,13.0
19/03/2020,3,12,18,15.0
20/03/2020,3,10,17,13.5
21/03/2020,2,7,9,8.0
22/03/2020,3,6,11,8.5
23/03/2020,3,2,11,6.5
24/03/2020,3,4,13,8.5
25/03/2020,3,4,11,7.5
26/03/2020,3,4,10,7.0
27/03/2020,3,5,13,9.0
28/03/2020,3,8,16,12.0
29/03/2020,2,4,8,6.0
30/03/2020,3,0,8,4.0
31/03/2020,3,2,10,6.0
01/04/2020,3,5,15,10.0
02/04/2020,3,4,10,7.0
03/04/2020,2,7,14,10.5
04/04/2020,3,7,16,11.5
05/04/2020,3,10,20,15.0
06/04/2020,3,8,15,11.5
07/04/2020,2,10,21,15.5
08/04/2020,3,13,25,19.0
09/04/2020,3,16,25,20.5
10/04/2020,3,15,24,19.5
11/04/2020,3,16,25,20.5
12/04/2020,3,16,23,19.5
13/04/2020,2,9,16,12.5
14/04/2020,3,4,13,8.5
15/04/2020,3,7,18,12.5
16/04/2020,3,13,23,18.0
17/04/2020,0,15,24,19.5
18/04/2020,3,15,22,18.5
19/04/2020,3,11,20,15.5
20/04/2020,3,12,19,15.5
21/04/2020,3,12,19,15.5
22/04/2020,3,13,21,17.0
23/04/2020,3,16,26,21.0
24/04/2020,3,16,24,20.0
25/04/2020,3,12,21,16.5
26/04/2020,3,12,24,18.0
27/04/2020,3,14,23,18.5
28/04/2020,2,13,18,15.5
29/04/2020,2,11,15,13.0
30/04/2020,2,10,14,12.0
01/05/2020,2,10,15,12.5
02/05/2020,2,9,17,13.0
03/05/2020,2,11,18,14.5
04/05/2020,3,13,20,16.5
05/05/2020,2,10,15,12.5
06/05/2020,3,11,19,15.0
07/05/2020,3,13,21,17.0
08/05/2020,3,13,23,18.0
09/05/2020,1,17,23,20.0
10/05/2020,3,16,22,19.0
11/05/2020,3,8,15,11.5
12/05/2020,2,6,14,10.0
13/05/2020,3,7,15,11.0
14/05/2020,3,6,15,10.5
15/05/2020,3,7,16,11.5
16/05/2020,3,9,19,14.0
17/05/2020,3,10,22,16.0
18/05/2020,3,13,23,18.0
19/05/2020,3,13,24,18.5
20/05/2020,3,15,26,20.5
21/05/2020,3,19,29,24.0
22/05/2020,3,18,25,21.5
23/05/2020,2,15,19,17.0
24/05/2020,3,12,19,15.5
25/05/2020,3,13,23,18.0
26/05/2020,3,15,24,19.5
27/05/2020,3,16,25,20.5
28/05/2020,3,14,23,18.5
29/05/2020,3,15,22,18.5
30/05/2020,3,16,24,20.0
31/05/2020,3,15,22,18.5
01/06/2020,3,14,26,20.0
02/06/2020,3,18,27,22.5
03/06/2020,2,18,24,21.0
04/06/2020,1,13,16,14.5
05/06/2020,2,11,16,13.5
06/06/2020,3,13,17,15.0
07/06/2020,2,11,20,15.5
08/06/2020,2,12,20,16.0
09/06/2020,2,10,18,14.0
10/06/2020,3,12,22,17.0
11/06/2020,3,14,22,18.0
12/06/2020,1,15,20,17.5
13/06/2020,3,14,23,18.5
14/06/2020,3,15,23,19.0
15/06/2020,2,15,22,18.5
16/06/2020,3,15,23,19.0
17/06/2020,2,16,22,19.0
18/06/2020,3,15,21,18.0
19/06/2020,3,14,21,17.5
20/06/2020,2,16,24,20.0
21/06/2020,3,17,20,18.5
22/06/2020,3,17,27,22.0
23/06/2020,3,18,28,23.0
24/06/2020,3,21,30,25.5
25/06/2020,3,22,31,26.5
26/06/2020,3,23,28,25.5
27/06/2020,2,18,23,20.5
28/06/2020,2,16,22,19.0
29/06/2020,3,16,20,18.0
30/06/2020,2,15,21,18.0
01/07/2020,2,14,22,18.0
02/07/2020,2,16,21,18.5
03/07/2020,3,15,22,18.5
04/07/2020,2,15,21,18.0
05/07/2020,2,18,22,20.0
06/07/2020,2,13,20,16.5
07/07/2020,3,16,25,20.5
08/07/2020,3,17,25,21.0
09/07/2020,3,19,29,24.0
10/07/2020,2,18,22,20.0
11/07/2020,3,17,23,20.0
12/07/2020,3,16,25,20.5
13/07/2020,3,17,26,21.5
14/07/2020,2,18,23,20.5
15/07/2020,2,17,22,19.5
16/07/2020,2,17,21,19.0
17/07/2020,3,17,25,21.0
18/07/2020,3,19,29,24.0
19/07/2020,2,19,30,24.5
20/07/2020,3,17,25,21.0
21/07/2020,3,16,26,21.0
22/07/2020,2,16,26,21.0
23/07/2020,3,18,28,23.0
24/07/2020,2,18,25,21.5
25/07/2020,3,19,25,22.0
26/07/2020,3,18,25,21.5
27/07/2020,3,19,29,24.0
28/07/2020,3,18,24,21.0
29/07/2020,3,18,28,23.0
30/07/2020,3,19,33,26.0
31/07/2020,3,25,37,31.0
01/08/2020,2,21,28,24.5
02/08/2020,3,17,25,21.0
03/08/2020,2,18,23,20.5
04/08/2020,3,17,27,22.0
05/08/2020,3,19,31,25.0
06/08/2020,3,23,34,28.5
07/08/2020,3,27,37,32.0
08/08/2020,3,27,38,32.5
09/08/2020,0,27,37,32.0
10/08/2020,3,25,36,30.5
11/08/2020,3,27,38,32.5
12/08/2020,3,27,35,31.0
13/08/2020,2,23,28,25.5
14/08/2020,3,20,26,23.0
15/08/2020,3,21,30,25.5
16/08/2020,2,21,28,24.5
17/08/2020,2,18,24,21.0
18/08/2020,3,19,26,22.5
19/08/2020,3,16,23,19.5
20/08/2020,3,22,32,27.0
21/08/2020,3,22,27,24.5
22/08/2020,3,18,24,21.0
23/08/2020,3,16,22,19.0
24/08/2020,2,16,23,19.5
25/08/2020,3,18,25,21.5
26/08/2020,3,17,23,20.0
27/08/2020,3,17,25,21.0
28/08/2020,2,15,23,19.0
29/08/2020,3,13,18,15.5
30/08/2020,2,14,21,17.5
31/08/2020,3,14,20,17.0
01/09/2020,3,14,21,17.5
02/09/2020,3,15,25,20.0
03/09/2020,3,17,26,21.5
04/09/2020,3,19,29,24.0
05/09/2020,2,16,21,18.5
06/09/2020,3,14,20,17.0
07/09/2020,3,15,25,20.0
08/09/2020,2,17,23,20.0
09/09/2020,3,18,27,22.5
10/09/2020,2,18,27,22.5
11/09/2020,3,19,27,23.0
12/09/2020,3,15,28,21.5
13/09/2020,3,19,32,25.5
14/09/2020,3,21,36,28.5
15/09/2020,3,22,34,28.0
16/09/2020,3,22,32,27.0
17/09/2020,3,17,27,22.0
18/09/2020,3,16,28,22.0
19/09/2020,3,21,28,24.5
20/09/2020,3,19,28,23.5
21/09/2020,3,17,29,23.0
22/09/2020,3,17,26,21.5
23/09/2020,2,17,23,20.0
24/09/2020,2,12,18,15.0
25/09/2020,1,10,13,11.5
26/09/2020,2,10,14,12.0
27/09/2020,1,11,16,13.5
28/09/2020,1,14,15,14.5
29/09/2020,2,14,17,15.5
30/09/2020,2,15,19,17.0
01/10/2020,2,14,17,15.5
02/10/2020,1,12,15,13.5
03/10/2020,3,11,15,13.0
04/10/2020,2,9,15,12.0
05/10/2020,1,11,14,12.5
06/10/2020,2,12,15,13.5
07/10/2020,2,13,16,14.5
08/10/2020,2,14,19,16.5
09/10/2020,1,13,16,14.5
10/10/2020,3,11,15,13.0
11/10/2020,3,10,15,12.5
12/10/2020,2,9,15,12.0
13/10/2020,1,10,14,12.0
14/10/2020,2,9,13,11.0
15/10/2020,2,8,12,10.0
16/10/2020,3,7,14,10.5
17/10/2020,2,7,13,10.0
18/10/2020,2,9,13,11.0
19/10/2020,3,9,14,11.5
20/10/2020,2,11,15,13.0
21/10/2020,3,14,20,17.0
22/10/2020,3,15,20,17.5
23/10/2020,2,14,20,17.0
24/10/2020,2,12,16,14.0
25/10/2020,1,12,16,14.0
26/10/2020,3,10,14,12.0
27/10/2020,2,4,11,7.5
28/10/2020,3,7,14,10.5
29/10/2020,2,8,15,11.5
30/10/2020,2,13,16,14.5
31/10/2020,3,12,17,14.5
01/11/2020,1,9,17,13.0
02/11/2020,2,12,18,15.0
03/11/2020,3,10,12,11.0
04/11/2020,3,8,12,10.0
05/11/2020,3,7,12,9.5
06/11/2020,3,7,12,9.5
07/11/2020,3,10,17,13.5
08/11/2020,3,12,17,14.5
09/11/2020,3,12,17,14.5
10/11/2020,2,12,16,14.0
11/11/2020,2,11,15,13.0
12/11/2020,3,9,15,12.0
13/11/2020,2,12,15,13.5
14/11/2020,3,12,16,14.0
15/11/2020,3,11,15,13.0
16/11/2020,2,11,13,12.0
17/11/2020,3,9,14,11.5
18/11/2020,3,10,16,13.0
19/11/2020,2,9,12,10.5
20/11/2020,3,7,10,8.5
21/11/2020,3,6,10,8.0
22/11/2020,3,7,11,9.0
23/11/2020,2,8,11,9.5
24/11/2020,2,7,10,8.5
25/11/2020,2,7,11,9.0
26/11/2020,3,8,12,10.0
27/11/2020,3,8,11,9.5
28/11/2020,3,7,12,9.5
29/11/2020,3,6,10,8.0
30/11/2020,3,2,8,5.0
01/01/2019,2,7,9,8.0
02/01/2019,3,5,8,6.5
03/01/2019,3,3,7,5.0
04/01/2019,3,2,6,4.0
05/01/2019,2,3,6,4.5
06/01/2019,2,3,5,4.0
07/01/2019,2,5,7,6.0
08/01/2019,3,7,9,8.0
09/01/2019,2,5,7,6.0
10/01/2019,3,2,5,3.5
11/01/2019,2,4,7,5.5
12/01/2019,2,6,7,6.5
13/01/2019,2,10,10,10.0
14/01/2019,2,8,9,8.5
15/01/2019,2,7,8,7.5
16/01/2019,2,4,7,5.5
17/01/2019,2,5,7,6.0
18/01/2019,2,2,7,4.5
19/01/2019,2,0,3,1.5
20/01/2019,2,2,4,3.0
21/01/2019,3,1,5,3.0
22/01/2019,1,-1,2,0.5
23/01/2019,0,-1,1,0.0
24/01/2019,2,-3,1,-1.0
25/01/2019,1,1,3,2.0
26/01/2019,2,6,8,7.0
27/01/2019,2,6,7,6.5
28/01/2019,3,3,6,4.5
29/01/2019,2,2,4,3.0
30/01/2019,3,1,2,1.5
31/01/2019,3,-1,1,0.0
01/02/2019,2,3,6,4.5
02/02/2019,2,3,5,4.0
03/02/2019,3,2,5,3.5
04/02/2019,2,2,4,3.0
05/02/2019,3,2,7,4.5
06/02/2019,2,5,10,7.5
07/02/2019,1,9,10,9.5
08/02/2019,2,8,10,9.0
09/02/2019,2,10,11,10.5
10/02/2019,1,8,11,9.5
11/02/2019,2,5,9,7.0
12/02/2019,3,4,9,6.5
13/02/2019,3,4,11,7.5
14/02/2019,3,6,11,8.5
15/02/2019,3,8,16,12.0
16/02/2019,3,9,16,12.5
17/02/2019,3,8,16,12.0
18/02/2019,3,9,14,11.5
19/02/2019,3,8,13,10.5
20/02/2019,3,7,13,10.0
21/02/2019,3,9,18,13.5
22/02/2019,3,12,17,14.5
23/02/2019,3,10,16,13.0
24/02/2019,3,9,15,12.0
25/02/2019,3,10,17,13.5
26/02/2019,3,12,20,16.0
27/02/2019,3,13,22,17.5
28/02/2019,3,11,16,13.5
01/03/2019,2,10,12,11.0
02/03/2019,1,9,13,11.0
03/03/2019,2,11,13,12.0
04/03/2019,2,9,12,10.5
05/03/2019,2,8,11,9.5
06/03/2019,2,10,12,11.0
07/03/2019,2,9,12,10.5
08/03/2019,3,7,12,9.5
09/03/2019,2,11,12,11.5
10/03/2019,2,9,13,11.0
11/03/2019,2,7,10,8.5
12/03/2019,3,7,13,10.0
13/03/2019,2,7,10,8.5
14/03/2019,1,8,11,9.5
15/03/2019,2,12,12,12.0
16/03/2019,2,10,12,11.0
17/03/2019,2,9,10,9.5
18/03/2019,2,7,12,9.5
19/03/2019,3,8,14,11.0
20/03/2019,3,10,15,12.5
21/03/2019,3,11,18,14.5
22/03/2019,3,14,22,18.0
23/03/2019,3,13,17,15.0
24/03/2019,2,8,12,10.0
25/03/2019,2,8,11,9.5
26/03/2019,3,7,13,10.0
27/03/2019,3,8,14,11.0
28/03/2019,3,9,13,11.0
29/03/2019,3,11,17,14.0
30/03/2019,3,12,19,15.5
31/03/2019,3,15,20,17.5
01/04/2019,3,12,20,16.0
02/04/2019,2,14,17,15.5
03/04/2019,2,7,11,9.0
04/04/2019,3,7,12,9.5
05/04/2019,3,8,13,10.5
06/04/2019,3,9,16,12.5
07/04/2019,2,10,15,12.5
08/04/2019,2,11,16,13.5
09/04/2019,2,12,17,14.5
10/04/2019,2,10,14,12.0
11/04/2019,3,8,15,11.5
12/04/2019,3,8,12,10.0
13/04/2019,3,6,10,8.0
14/04/2019,3,6,11,8.5
15/04/2019,3,8,15,11.5
16/04/2019,1,10,14,12.0
17/04/2019,3,12,19,15.5
18/04/2019,3,15,22,18.5
19/04/2019,3,17,24,20.5
20/04/2019,3,19,25,22.0
21/04/2019,3,20,25,22.5
22/04/2019,3,20,25,22.5
23/04/2019,3,18,22,20.0
24/04/2019,2,15,17,16.0
25/04/2019,2,12,14,13.0
26/04/2019,3,13,18,15.5
27/04/2019,2,11,13,12.0
28/04/2019,2,10,12,11.0
29/04/2019,3,12,18,15.0
30/04/2019,3,13,18,15.5
01/05/2019,3,14,21,17.5
02/05/2019,2,12,14,13.0
03/05/2019,2,13,18,15.5
04/05/2019,1,7,11,9.0
05/05/2019,2,9,13,11.0
06/05/2019,3,10,14,12.0
07/05/2019,3,12,16,14.0
08/05/2019,1,12,16,14.0
09/05/2019,2,12,16,14.0
10/05/2019,2,13,17,15.0
11/05/2019,1,9,16,12.5
12/05/2019,3,11,16,13.5
13/05/2019,3,12,17,14.5
14/05/2019,3,13,18,15.5
15/05/2019,3,14,18,16.0
16/05/2019,3,14,17,15.5
17/05/2019,3,15,22,18.5
18/05/2019,2,16,19,17.5
19/05/2019,2,17,21,19.0
20/05/2019,2,14,18,16.0
21/05/2019,3,16,21,18.5
22/05/2019,3,18,24,21.0
23/05/2019,3,19,24,21.5
24/05/2019,3,18,23,20.5
25/05/2019,3,18,22,20.0
26/05/2019,3,18,21,19.5
27/05/2019,2,16,20,18.0
28/05/2019,2,14,18,16.0
29/05/2019,2,16,20,18.0
30/05/2019,2,17,20,18.5
31/05/2019,2,20,23,21.5
01/06/2019,3,22,31,26.5
02/06/2019,3,25,30,27.5
03/06/2019,2,19,23,21.0
04/06/2019,2,21,26,23.5
05/06/2019,2,13,19,16.0
06/06/2019,3,15,20,17.5
07/06/2019,1,15,16,15.5
08/06/2019,2,15,19,17.0
09/06/2019,3,16,22,19.0
10/06/2019,2,17,18,17.5
11/06/2019,3,16,19,17.5
12/06/2019,2,15,18,16.5
13/06/2019,2,15,20,17.5
14/06/2019,3,18,24,21.0
15/06/2019,3,18,22,20.0
16/06/2019,3,17,22,19.5
17/06/2019,3,21,27,24.0
18/06/2019,3,22,28,25.0
19/06/2019,3,23,24,23.5
20/06/2019,2,16,22,19.0
21/06/2019,3,19,23,21.0
22/06/2019,3,18,25,21.5
23/06/2019,3,22,27,24.5
24/06/2019,3,26,31,28.5
25/06/2019,3,26,32,29.0
26/06/2019,3,26,33,29.5
27/06/2019,3,25,31,28.0
28/06/2019,3,24,31,27.5
29/06/2019,3,26,34,30.0
30/06/2019,3,24,29,26.5
01/07/2019,3,21,26,23.5
02/07/2019,3,20,26,23.0
03/07/2019,3,19,25,22.0
04/07/2019,3,20,28,24.0
05/07/2019,3,24,32,28.0
06/07/2019,2,26,31,28.5
07/07/2019,3,21,28,24.5
08/07/2019,3,18,23,20.5
09/07/2019,3,17,23,20.0
10/07/2019,3,21,27,24.0
11/07/2019,2,21,27,24.0
12/07/2019,2,20,25,22.5
13/07/2019,3,21,25,23.0
14/07/2019,2,16,23,19.5
