date,Paris_weather,Paris_min,Paris_max,Paris_avg
15/07/2019,3,17,24,20.5
16/07/2019,3,21,27,24.0
17/07/2019,3,24,29,26.5
18/07/2019,2,21,24,22.5
19/07/2019,3,21,27,24.0
20/07/2019,2,23,26,24.5
21/07/2019,3,22,29,25.5
22/07/2019,3,27,35,31.0
23/07/2019,3,29,36,32.5
24/07/2019,3,31,38,34.5
25/07/2019,2,32,40,36.0
26/07/2019,2,25,30,27.5
27/07/2019,2,20,24,22.0
28/07/2019,2,19,23,21.0
29/07/2019,3,22,29,25.5
30/07/2019,3,21,24,22.5
31/07/2019,3,19,22,20.5
01/08/2019,3,22,28,25.0
02/08/2019,3,22,28,25.0
03/08/2019,3,20,26,23.0
04/08/2019,3,23,32,27.5
05/08/2019,3,21,28,24.5
06/08/2019,2,17,22,19.5
07/08/2019,2,21,26,23.5
08/08/2019,3,23,29,26.0
09/08/2019,2,23,27,25.0
10/08/2019,2,20,25,22.5
11/08/2019,3,19,22,20.5
12/08/2019,3,19,23,21.0
13/08/2019,3,17,21,19.0
14/08/2019,2,19,24,21.5
15/08/2019,2,19,23,21.0
16/08/2019,3,20,25,22.5
17/08/2019,2,18,20,19.0
18/08/2019,2,21,23,22.0
19/08/2019,3,19,23,21.0
20/08/2019,3,19,23,21.0
21/08/2019,3,19,26,22.5
22/08/2019,3,21,28,24.5
23/08/2019,3,21,28,24.5
24/08/2019,3,23,31,27.0
25/08/2019,3,28,37,32.5
26/08/2019,3,28,33,30.5
27/08/2019,3,26,34,30.0
28/08/2019,3,24,28,26.0
29/08/2019,3,21,26,23.5
30/08/2019,3,23,28,25.5
31/08/2019,3,23,30,26.5
01/09/2019,2,19,23,21.0
02/09/2019,3,18,24,21.0
03/09/2019,3,19,25,22.0
04/09/2019,3,19,23,21.0
05/09/2019,3,16,19,17.5
06/09/2019,3,16,22,19.0
07/09/2019,2,16,20,18.0
08/09/2019,2,14,19,16.5
09/09/2019,2,13,19,16.0
10/09/2019,3,16,23,19.5
11/09/2019,3,17,23,20.0
12/09/2019,2,18,24,21.0
13/09/2019,3,19,25,22.0
14/09/2019,3,19,28,23.5
15/09/2019,3,23,32,27.5
16/09/2019,3,0,22,11.0
17/09/2019,3,18,23,20.5
18/09/2019,3,14,19,16.5
19/09/2019,3,14,20,17.0
20/09/2019,3,15,23,19.0
21/09/2019,3,18,28,23.0
22/09/2019,3,18,22,20.0
23/09/2019,3,16,22,19.0
24/09/2019,1,16,20,18.0
25/09/2019,1,15,18,16.5
26/09/2019,2,18,21,19.5
27/09/2019,2,17,21,19.0
28/09/2019,3,15,19,17.0
29/09/2019,2,16,19,17.5
30/09/2019,2,15,20,17.5
01/10/2019,2,19,21,20.0
02/10/2019,2,14,16,15.0
03/10/2019,3,11,16,13.5
04/10/2019,2,15,17,16.0
05/10/2019,2,14,16,15.0
06/10/2019,1,15,18,16.5
07/10/2019,2,14,17,15.5
08/10/2019,1,13,15,14.0
09/10/2019,2,13,16,14.5
10/10/2019,2,13,18,15.5
11/10/2019,2,14,20,17.0
12/10/2019,2,15,20,17.5
13/10/2019,3,19,24,21.5
14/10/2019,3,18,22,20.0
15/10/2019,3,15,17,16.0
16/10/2019,2,14,15,14.5
17/10/2019,2,14,16,15.0
18/10/2019,2,14,17,15.5
19/10/2019,1,14,16,15.0
20/10/2019,1,12,14,13.0
21/10/2019,2,12,15,13.5
22/10/2019,3,12,15,13.5
23/10/2019,3,13,17,15.0
24/10/2019,3,15,18,16.5
25/10/2019,2,13,17,15.0
26/10/2019,2,14,20,17.0
27/10/2019,1,7,16,11.5
28/10/2019,3,8,11,9.5
29/10/2019,3,9,10,9.5
30/10/2019,2,9,10,9.5
31/10/2019,1,10,11,10.5
01/11/2019,1,12,15,13.5
02/11/2019,2,12,15,13.5
03/11/2019,1,12,13,12.5
04/11/2019,2,12,14,13.0
05/11/2019,2,10,13,11.5
06/11/2019,2,10,12,11.0
07/11/2019,2,10,11,10.5
08/11/2019,3,7,11,9.0
09/11/2019,3,7,10,8.5
10/11/2019,1,7,9,8.0
11/11/2019,1,6,9,7.5
12/11/2019,2,7,8,7.5
13/11/2019,2,7,10,8.5
14/11/2019,2,6,8,7.0
15/11/2019,1,3,6,4.5
16/11/2019,2,5,7,6.0
17/11/2019,3,5,8,6.5
18/11/2019,2,5,8,6.5
19/11/2019,3,7,10,8.5
20/11/2019,2,3,7,5.0
21/11/2019,3,5,10,7.5
22/11/2019,3,6,11,8.5
23/11/2019,1,10,11,10.5
24/11/2019,2,8,11,9.5
25/11/2019,2,7,10,8.5
26/11/2019,2,10,12,11.0
27/11/2019,2,11,13,12.0
28/11/2019,1,11,12,11.5
29/11/2019,2,9,10,9.5
30/11/2019,3,6,8,7.0
01/12/2019,2,3,5,4.0
02/12/2019,3,3,7,5.0
03/12/2019,3,4,10,7.0
04/12/2019,3,3,6,4.5
05/12/2019,3,4,8,6.0
06/12/2019,2,4,6,5.0
07/12/2019,2,9,10,9.5
08/12/2019,1,10,12,11.0
09/12/2019,2,7,9,8.0
10/12/2019,3,5,9,7.0
11/12/2019,1,7,8,7.5
12/12/2019,2,4,7,5.5
13/12/2019,1,7,9,8.0
14/12/2019,2,8,10,9.0
15/12/2019,3,9,11,10.0
16/12/2019,1,9,10,9.5
17/12/2019,2,11,14,12.5
18/12/2019,3,8,11,9.5
19/12/2019,2,11,13,12.0
20/12/2019,2,10,13,11.5
21/12/2019,2,8,10,9.0
22/12/2019,1,9,10,9.5
23/12/2019,2,9,10,9.5
24/12/2019,2,11,12,11.5
25/12/2019,2,9,11,10.0
26/12/2019,3,6,9,7.5
27/12/2019,2,9,11,10.0
28/12/2019,3,5,8,6.5
29/12/2019,3,3,7,5.0
30/12/2019,3,4,11,7.5
31/12/2019,3,5,8,6.5
01/01/2018,2,7,9,8.0
02/01/2018,2,5,11,8.0
03/01/2018,2,9,15,12.0
04/01/2018,2,10,14,12.0
05/01/2018,2,8,11,9.5
06/01/2018,2,6,7,6.5
07/01/2018,2,6,7,6.5
08/01/2018,3,5,8,6.5
09/01/2018,2,5,8,6.5
10/01/2018,2,7,8,7.5
11/01/2018,2,5,7,6.0
12/01/2018,3,4,5,4.5
13/01/2018,3,3,6,4.5
14/01/2018,3,2,7,4.5
15/01/2018,2,5,9,7.0
16/01/2018,2,7,10,8.5
17/01/2018,3,5,7,6.0
18/01/2018,2,8,11,9.5
19/01/2018,3,5,7,6.0
20/01/2018,2,5,10,7.5
21/01/2018,2,5,10,7.5
22/01/2018,2,8,12,10.0
23/01/2018,2,7,11,9.0
24/01/2018,2,11,12,11.5
25/01/2018,2,8,11,9.5
26/01/2018,3,5,9,7.0
27/01/2018,3,4,8,6.0
28/01/2018,2,7,10,8.5
29/01/2018,2,9,11,10.0
30/01/2018,2,8,10,9.0
31/01/2018,2,8,9,8.5
01/02/2018,3,4,7,5.5
02/02/2018,2,3,6,4.5
03/02/2018,2,3,5,4.0
04/02/2018,3,1,3,2.0
05/02/2018,2,-1,3,1.0
06/02/2018,2,-1,1,0.0
07/02/2018,2,-3,0,-1.5
08/02/2018,3,-4,1,-1.5
09/02/2018,2,-3,1,-1.0
10/02/2018,1,-1,2,0.5
11/02/2018,2,3,6,4.5
12/02/2018,3,1,5,3.0
13/02/2018,2,1,4,2.5
14/02/2018,2,1,5,3.0
15/02/2018,1,8,9,8.5
16/02/2018,2,5,9,7.0
17/02/2018,2,4,9,6.5
18/02/2018,3,4,8,6.0
19/02/2018,2,3,5,4.0
20/02/2018,2,3,7,5.0
21/02/2018,3,1,6,3.5
22/02/2018,3,0,5,2.5
23/02/2018,3,0,4,2.0
24/02/2018,3,0,5,2.5
25/02/2018,3,-1,3,1.0
26/02/2018,3,-3,0,-1.5
27/02/2018,2,-4,-2,-3.0
28/02/2018,2,-5,-1,-3.0
01/03/2018,2,-2,3,0.5
02/03/2018,2,2,8,5.0
03/03/2018,2,4,10,7.0
04/03/2018,2,5,7,6.0
05/03/2018,3,6,12,9.0
06/03/2018,2,6,11,8.5
07/03/2018,2,6,10,8.0
08/03/2018,2,7,9,8.0
09/03/2018,2,7,14,10.5
10/03/2018,2,11,15,13.0
11/03/2018,2,13,17,15.0
12/03/2018,2,10,12,11.0
13/03/2018,2,9,12,10.5
14/03/2018,3,8,13,10.5
15/03/2018,2,9,13,11.0
16/03/2018,2,9,13,11.0
17/03/2018,2,3,7,5.0
18/03/2018,2,0,2,1.0
19/03/2018,2,0,3,1.5
20/03/2018,2,2,7,4.5
21/03/2018,3,4,8,6.0
22/03/2018,2,5,8,6.5
23/03/2018,2,5,6,5.5
24/03/2018,3,5,13,9.0
25/03/2018,3,10,14,12.0
26/03/2018,3,8,13,10.5
27/03/2018,2,7,11,9.0
28/03/2018,1,7,12,9.5
29/03/2018,3,7,12,9.5
30/03/2018,2,6,10,8.0
31/03/2018,2,8,11,9.5
01/04/2018,2,8,10,9.0
02/04/2018,2,10,16,13.0
03/04/2018,2,11,14,12.5
04/04/2018,3,11,14,12.5
05/04/2018,2,9,10,9.5
06/04/2018,3,11,19,15.0
07/04/2018,2,15,20,17.5
08/04/2018,3,16,21,18.5
09/04/2018,2,12,14,13.0
10/04/2018,3,12,15,13.5
11/04/2018,3,13,18,15.5
12/04/2018,2,12,14,13.0
13/04/2018,3,13,17,15.0
14/04/2018,2,14,17,15.5
15/04/2018,2,14,17,15.5
16/04/2018,3,13,16,14.5
17/04/2018,3,15,21,18.0
18/04/2018,3,18,25,21.5
19/04/2018,3,20,27,23.5
20/04/2018,3,23,28,25.5
21/04/2018,3,21,27,24.0
22/04/2018,3,22,26,24.0
23/04/2018,3,16,19,17.5
24/04/2018,3,15,20,17.5
25/04/2018,2,13,15,14.0
26/04/2018,3,12,14,13.0
27/04/2018,3,14,18,16.0
28/04/2018,3,12,15,13.5
29/04/2018,2,10,12,11.0
30/04/2018,2,6,10,8.0
01/05/2018,2,10,14,12.0
02/05/2018,3,12,16,14.0
03/05/2018,3,13,16,14.5
04/05/2018,3,14,18,16.0
05/05/2018,3,16,23,19.5
06/05/2018,3,20,26,23.0
07/05/2018,3,21,25,23.0
08/05/2018,3,22,26,24.0
09/05/2018,3,17,22,19.5
10/05/2018,2,14,16,15.0
11/05/2018,3,15,20,17.5
12/05/2018,2,14,21,17.5
13/05/2018,2,11,14,12.5
14/05/2018,2,11,14,12.5
15/05/2018,2,13,20,16.5
16/05/2018,3,16,20,18.0
17/05/2018,3,12,18,15.0
18/05/2018,3,13,18,15.5
19/05/2018,3,14,18,16.0
20/05/2018,3,16,21,18.5
21/05/2018,3,17,24,20.5
22/05/2018,3,19,23,21.0
23/05/2018,3,18,21,19.5
24/05/2018,3,21,24,22.5
25/05/2018,3,20,25,22.5
26/05/2018,3,23,28,25.5
27/05/2018,3,24,28,26.0
28/05/2018,3,21,25,23.0
29/05/2018,3,20,24,22.0
30/05/2018,3,21,25,23.0
31/05/2018,3,22,24,23.0
01/06/2018,2,19,20,19.5
02/06/2018,3,20,24,22.0
03/06/2018,3,22,25,23.5
04/06/2018,3,20,25,22.5
05/06/2018,2,17,23,20.0
06/06/2018,3,20,25,22.5
07/06/2018,3,20,24,22.0
08/06/2018,3,22,25,23.5
09/06/2018,3,22,26,24.0
10/06/2018,3,22,26,24.0
11/06/2018,2,20,23,21.5
12/06/2018,3,15,18,16.5
13/06/2018,2,16,17,16.5
14/06/2018,2,17,21,19.0
15/06/2018,3,19,22,20.5
16/06/2018,3,18,21,19.5
17/06/2018,3,16,20,18.0
18/06/2018,2,18,22,20.0
19/06/2018,2,18,22,20.0
20/06/2018,3,23,28,25.5
21/06/2018,3,17,20,18.5
22/06/2018,3,16,20,18.0
23/06/2018,3,16,21,18.5
24/06/2018,3,19,22,20.5
25/06/2018,3,19,23,21.0
26/06/2018,3,21,25,23.0
27/06/2018,3,23,27,25.0
28/06/2018,3,23,26,24.5
29/06/2018,3,24,27,25.5
30/06/2018,3,25,30,27.5
01/07/2018,3,26,31,28.5
02/07/2018,3,24,29,26.5
03/07/2018,3,25,29,27.0
04/07/2018,3,25,27,26.0
05/07/2018,3,21,25,23.0
06/07/2018,3,23,28,25.5
07/07/2018,3,25,29,27.0
08/07/2018,3,25,29,27.0
09/07/2018,3,22,26,24.0
10/07/2018,2,19,20,19.5
11/07/2018,2,17,20,18.5
12/07/2018,3,21,25,23.0
13/07/2018,3,22,26,24.0
14/07/2018,3,24,28,26.0
15/07/2018,1,25,29,27.0
16/07/2018,3,25,28,26.5
17/07/2018,2,20,25,22.5
18/07/2018,3,20,26,23.0
19/07/2018,3,25,29,27.0
20/07/2018,3,21,25,23.0
21/07/2018,2,21,25,23.0
22/07/2018,3,23,27,25.0
23/07/2018,3,25,31,28.0
24/07/2018,3,27,30,28.5
25/07/2018,3,27,32,29.5
26/07/2018,3,30,35,32.5
27/07/2018,3,29,35,32.0
28/07/2018,3,22,25,23.5
29/07/2018,3,21,27,24.0
30/07/2018,2,21,27,24.0
31/07/2018,3,22,28,25.0
01/08/2018,3,24,29,26.5
02/08/2018,3,25,32,28.5
03/08/2018,3,27,34,30.5
04/08/2018,3,27,32,29.5
05/08/2018,3,22,30,26.0
06/08/2018,3,28,33,30.5
07/08/2018,3,30,36,33.0
08/08/2018,2,22,24,23.0
09/08/2018,2,16,20,18.0
10/08/2018,3,19,22,20.5
11/08/2018,3,19,24,21.5
12/08/2018,3,23,30,26.5
13/08/2018,3,19,24,21.5
14/08/2018,2,21,25,23.0
15/08/2018,3,20,25,22.5
16/08/2018,3,23,30,26.5
17/08/2018,3,20,24,22.0
18/08/2018,3,19,25,22.0
19/08/2018,3,22,28,25.0
20/08/2018,2,21,24,22.5
21/08/2018,2,23,25,24.0
22/08/2018,3,24,29,26.5
23/08/2018,3,22,26,24.0
24/08/2018,2,18,19,18.5
25/08/2018,2,16,18,17.0
26/08/2018,3,18,22,20.0
27/08/2018,3,19,22,20.5
28/08/2018,3,20,27,23.5
29/08/2018,2,18,21,19.5
30/08/2018,3,19,21,20.0
31/08/2018,3,19,22,20.5
01/09/2018,3,19,23,21.0
02/09/2018,3,18,24,21.0
03/09/2018,3,20,24,22.0
04/09/2018,2,19,23,21.0
05/09/2018,3,20,25,22.5
06/09/2018,2,18,22,20.0
07/09/2018,3,17,20,18.5
08/09/2018,3,18,22,20.0
09/09/2018,3,20,28,24.0
10/09/2018,3,19,25,22.0
11/09/2018,3,22,28,25.0
12/09/2018,3,22,27,24.5
13/09/2018,2,16,20,18.0
14/09/2018,3,17,21,19.0
15/09/2018,3,17,22,19.5
16/09/2018,3,19,25,22.0
17/09/2018,3,21,28,24.5
18/09/2018,3,21,25,23.0
19/09/2018,3,20,25,22.5
20/09/2018,3,20,25,22.5
21/09/2018,3,16,19,17.5
22/09/2018,2,15,18,16.5
23/09/2018,2,13,21,17.0
24/09/2018,3,13,17,15.0
25/09/2018,3,13,17,15.0
26/09/2018,3,13,21,17.0
27/09/2018,3,17,24,20.5
28/09/2018,3,15,19,17.0
29/09/2018,3,12,18,15.0
30/09/2018,3,12,18,15.0
01/10/2018,2,11,15,13.0
02/10/2018,2,12,15,13.5
03/10/2018,2,16,19,17.5
04/10/2018,3,15,20,17.5
05/10/2018,3,16,24,20.0
06/10/2018,3,18,23,20.5
07/10/2018,2,13,15,14.0
08/10/2018,3,13,18,15.5
09/10/2018,3,15,22,18.5
10/10/2018,3,17,24,20.5
11/10/2018,3,19,25,22.0
12/10/2018,3,19,25,22.0
13/10/2018,3,20,26,23.0
14/10/2018,3,20,24,22.0
15/10/2018,3,20,25,22.5
16/10/2018,3,20,24,22.0
17/10/2018,3,17,21,19.0
18/10/2018,3,15,20,17.5
19/10/2018,3,14,18,16.0
20/10/2018,3,12,17,14.5
21/10/2018,3,12,18,15.0
22/10/2018,2,12,15,13.5
23/10/2018,3,10,17,13.5
24/10/2018,2,13,17,15.0
25/10/2018,3,11,15,13.0
26/10/2018,2,10,13,11.5
27/10/2018,3,7,10,8.5
28/10/2018,2,6,8,7.0
29/10/2018,2,4,6,5.0
30/10/2018,2,7,10,8.5
31/10/2018,2,7,11,9.0
01/11/2018,2,10,11,10.5
02/11/2018,3,8,11,9.5
03/11/2018,3,6,11,8.5
04/11/2018,3,8,13,10.5
05/11/2018,3,12,18,15.0
06/11/2018,3,13,19,16.0
07/11/2018,2,10,13,11.5
08/11/2018,3,8,12,10.0
09/11/2018,3,9,14,11.5
10/11/2018,2,12,13,12.5
11/11/2018,2,12,12,12.0
12/11/2018,3,10,11,10.5
13/11/2018,3,11,14,12.5
14/11/2018,3,9,13,11.0
15/11/2018,3,9,12,10.5
16/11/2018,3,6,10,8.0
17/11/2018,3,4,8,6.0
18/11/2018,3,4,8,6.0
19/11/2018,2,2,6,4.0
20/11/2018,2,2,4,3.0
21/11/2018,3,1,5,3.0
22/11/2018,1,2,6,4.0
23/11/2018,3,5,8,6.5
24/11/2018,2,7,8,7.5
25/11/2018,2,7,8,7.5
26/11/2018,2,5,7,6.0
27/11/2018,2,5,8,6.5
28/11/2018,2,10,11,10.5
29/11/2018,3,10,13,11.5
30/11/2018,3,9,11,10.0
01/12/2018,2,7,11,9.0
02/12/2018,2,14,15,14.5
03/12/2018,1,12,14,13.0
04/12/2018,3,8,11,9.5
05/12/2018,2,9,11,10.0
06/12/2018,2,11,13,12.0
07/12/2018,2,9,12,10.5
08/12/2018,2,9,12,10.5
09/12/2018,1,9,11,10.0
10/12/2018,2,7,10,8.5
11/12/2018,3,6,8,7.0
12/12/2018,3,1,5,3.0
13/12/2018,3,0,3,1.5
14/12/2018,3,-1,2,0.5
15/12/2018,2,-1,2,0.5
16/12/2018,3,2,5,3.5
17/12/2018,3,4,7,5.5
18/12/2018,3,5,8,6.5
19/12/2018,2,8,9,8.5
20/12/2018,3,7,9,8.0
21/12/2018,1,12,15,13.5
22/12/2018,2,10,12,11.0
23/12/2018,2,10,13,11.5
24/12/2018,2,7,13,10.0
25/12/2018,3,2,8,5.0
26/12/2018,3,1,4,2.5
27/12/2018,2,1,3,2.0
28/12/2018,3,0,3,1.5
29/12/2018,2,2,5,3.5
30/12/2018,2,5,7,6.0
31/12/2018,2,7,9,8.0
